Who,What,When,when_yyyy_mm,Field,Area,Where,How (profit N-F),NR,Opacity,How (check character),How (year),How (policy),Why,EZID,Contact (surname),Contact (firstname),Contact (current only),Provider (surname),Provider (firstname),Provider (email),Address (postal),Address (location),Address (map),Latitude,Longitude,Postcode,Country
Centre Informatique National de l'Enseignement Supérieur,87895,2008-10-14,2008-10-01,research,national,https://www.cines.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2008,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"950 Rue de St - Priest, 34000, Montpellier, France","950 Rue de St - Priest, 34000, Montpellier, France","350 rue Saint-Priest, 34090 Montpellier, France",43.630947,3.8462653,34000,France
Bibliothèque municipale de Toulouse,74899,2009-01-23,2009-01-01,library,municipal,https://www.bibliotheque.toulouse.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"1 Allée Jacques Chaban-Delmas, 31500, Toulouse, France","1 Allée Jacques Chaban-Delmas, 31500, Toulouse, France","1 Allée Jacques Chaban-Delmas, 31500, Toulouse, France",43.6102597,1.4557036,31500,France
Family Search,61903,2009-02-13,2009-02-01,research,,https://familysearch.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"50 N Temple, Salt Lake City, UT 84150, USA","50 N Temple, Salt Lake City, UT 84150, USA","50 N Temple, Salt Lake City, UT 84150, USA",40.77100535,-111.889365921068,,USA
University of California Santa Barbara,48907,2009-03-13,2009-03-01,university,,https://library.ucsb.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,"EZID ARK, started as ARK",True,Anonyme,Anonyme,contact@email.com,,,,"552 University Rd, Santa Barbara, CA 93106, USA","552 University Rd, Santa Barbara, CA 93106, USA","552 University Rd, Santa Barbara, CA 93106, USA",34.4162606,-119.8464093,,USA
George Eastman House - International Museum of Photography and Film,36253,2009-03-17,2009-03-01,museum,,https://www.eastman.org/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"900 East Ave, Rochester, NY 14607, USA","900 East Ave, Rochester, NY 14607, USA","900 East Ave, Rochester, NY 14607, USA",43.1531296,-77.5798264,,USA
Appalachian State University,23257,2009-05-18,2009-05-01,university,,https://www.appstate.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Boone, North Carolina 28608, USA","Boone, North Carolina 28608, USA","Boone, North Carolina 28608, USA",36.216795,-81.6745517,,USA
Jüdisches Museum Berlin,10261,2009-07-22,2009-07-01,museum,,https://www.jmberlin.de,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Lindenstraße 9-14, 10969 Berlin, Germany","Lindenstraße 9-14, 10969 Berlin, Germany","Lindenstraße 9-14, 10969 Berlin, Germany",52.50187965,13.3962249953033,,Germany
University of Houston,84475,2009-07-22,2009-07-01,university,,https://id.lib.uh.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"220 School of Music Building, Houston, TX 77004, USA","4800 Calhoun Rd, Houston, TX 77004, USA","4800 Calhoun Rd, Houston, TX 77004, USA",29.7207902,-95.3440627149137,,USA
Consejo Superior de Investigaciones Científicas,71479,2009-10-14,2009-10-01,research,,https://www.csic.es,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Calle Carretera, 0, 28500 Arganda del Rey, Madrid, Spain","Calle Carretera, 0, 28500 Arganda del Rey, Madrid, Spain","Calle Carretera, 0, 28500 Arganda del Rey, Madrid, Spain",40.2999616,-3.4349945,,Spain
Archives départementales de la Somme,58483,2009-10-21,2009-10-01,archives,departemental,https://archives.somme.fr/,False,NR,OP,(:unkn) unknown,2009,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"53, rue de la République, B.P. 32615, 80026, Amiens, France","61 Rue Saint-Fuscien, 80000, Amiens, France","61 Rue Saint-Fuscien, 80000, Amiens, France",49.8836614,2.3042746,80000,France
Bibliothèque Cujas,45829,2009-10-28,2009-10-01,library,,http://biu-cujas.univ-paris1.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"2 Rue Cujas, 75005, Paris, France","2 Rue Cujas, 75005, Paris, France","2 Rue Cujas, 75005, Paris, France",48.84734975,2.34546667818118,75005,France
Massachusetts Institute of Technology,32833,2009-11-17,2009-11-01,research,,https://libraries.mit.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"77 Massachusetts Avenue, Cambridge, MA 02139-4307, USA","77 Massachusetts Avenue, Cambridge, MA 02139-4307, USA","77 Massachusetts Avenue, Cambridge, MA 02139-4307, USA",42.3592962,-71.0930833324271,,USA
Simon Fraser University,19837,2009-12-16,2009-12-01,university,,https://www.sfu.ca,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"8888 University Drive, Burnaby, BC, Canada V5A 1S6","8888 University Drive, Burnaby, BC, Canada V5A 1S6","Burnaby, BC, Canada",49.2433804,-122.9725459,,Canada
British Library,81055,2010-01-21,2010-01-01,library,,https://www.bl.uk,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"96 Euston Rd, Kings Cross, London NW1 2DB, United Kingdom","96 Euston Rd, Kings Cross, London NW1 2DB, United Kingdom","96 Euston Road, London, United Kingdom",51.5298765,-0.127719844483978,,United Kingdom
Centre National d'Études Spatiales,68059,2010-02-02,2010-02-01,research,national,https://www.cnes.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"2 Place Maurice Quentin, 75001, Paris, France","2 Place Maurice Quentin, 75001, Paris, France","2 Place Maurice Quentin, 75001, Paris, France",48.8612924,2.3453532,75001,France
Columbia College Chicago,55405,2010-02-19,2010-02-01,university,,https://www.colum.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"525 S State St, Chicago, IL 60605, USA","525 S State St, Chicago, IL 60605, USA","525 S State St, Chicago, IL 60605, USA",41.87497345,-87.6271441026879,,USA
The Pennsylvania State University,42409,2010-03-03,2010-03-01,university,,https://www.psu.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"201 Old Main, University Park, Pennsylvania 16802, USA","201 Old Main, University Park, Pennsylvania 16802, USA","201 Old Main, Pennsylvania 16802, USA",40.7964652,-77.862789491026,,USA
University of Pennsylvania,29413,2010-04-07,2010-04-01,university,,https://www.upenn.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"3420 Walnut St, Philadelphia, PA 19104, USA","3420 Walnut St, Philadelphia, PA 19104, USA","3420 Walnut St, Philadelphia, PA 19104, USA",39.95271395,-75.1939327992977,,USA
University of Kentucky Libraries,16417,2010-04-09,2010-04-01,university,,https://www.uky.edu/UKHome/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"500 S. Limestone St., Lexington, KY 40508, USA","500 S. Limestone St., Lexington, KY 40508, USA","500 S. Limestone St., Lexington, KY 40508, USA",38.039056,-84.506638,,USA
Humboldt-Universität zu Berlin,77635,2010-06-07,2010-06-01,university,,https://www.hu-berlin.de/de,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Unter den Linden 6, 10117 Berlin, Germany","Unter den Linden 6, 10117 Berlin, Germany","Unter den Linden 6, 10117 Berlin, Germany",52.51858145,13.3928784024504,,Germany
Lo CIRDÒC - Institut occitan de cultura,64981,2010-06-21,2010-06-01,research,regional,https://www.locirdoc.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"1 bis boulevard Du Guesclin, Place du 14 juillet, 34500, Béziers, France","1 bis boulevard Du Guesclin, Place du 14 juillet, 34500, Béziers, France","1B boulevard Bertrand Duguesclin, 34500, Béziers, France",43.3455518,3.2229039,34500,France
University of Illinois at Urbana Champaign,51985,2010-07-12,2010-07-01,university,,https://illinois.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"1408 W Gregory Dr #203, Urbana, IL 61801, USA","1408 W Gregory Dr #203, Urbana, IL 61801, USA","1408 W Gregory Doctor, Urbana, IL 61801, USA",40.10471855,-88.2289901451319,,USA
"People, Groups, and Institutions as Agents",99166,2010-08-04,2010-08-01,,,http://n2t.net,False,NR,OP,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"415 20th St, Oakland, CA 94612, USA","415 20th St, Oakland, CA 94612, USA","415 20th St, Oakland, CA 94612, USA",37.8086782082007,-122.267477033473,,USA
NAAN Reserved for Invalid or Impossible ARKs,99999,2010-08-04,2010-08-01,,,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"415 20th St, Oakland, CA 94612, USA","415 20th St, Oakland, CA 94612, USA","415 20th St, Oakland, CA 94612, USA",37.8086782082007,-122.267477033473,,USA
The George Washington University,38989,2010-08-20,2010-08-01,university,,https://gwu.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"2130 H St NW, Washington, DC 20052, USA","2130 H St NW, Washington, DC 20052, USA","2130 H St NW, Washington, DC 20052, USA",38.89923265,-77.0483857236381,,USA
Archives départementales du Doubs,25993,2010-08-23,2010-08-01,archives,departemental,https://archives.doubs.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"4-8 Rue Marc Bloch, 25000, Besançon, France","4-8 Rue Marc Bloch, 25000, Besançon, France","4-8 Rue Marc Bloch, 25000, Besançon, France",47.2171945,5.9695238,25000,France
Archives départementales du Territoire de Belfort,12997,2010-08-23,2010-08-01,archives,departemental,https://archives.territoiredebelfort.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Hôtel du département 6, place de la Révolution française 90020 Belfort cedex, France","4 rue de l'Ancien Théâtre, 90000, Belfort, France","4 rue de l'Ancien Théâtre, 90000, Belfort, France",47.6375494,6.8624776,90000,France
Archives de la ville de Pontivy,87553,2010-08-23,2010-08-01,archives,municipal,http://archives.pontivy.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"8, rue François Mitterrand, 56306 Pontivy, France","8, rue François Mitterrand, 56306, Pontivy, France","8 rue François Mitterrand, 56300, Pontivy, France",48.06457015,-2.9678087390331,56306,France
Rockefeller Archive Center,74557,2010-08-31,2010-08-01,archives,,http://www.rockarch.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"15 Dayton Ave, Sleepy Hollow, NY 10591, USA","15 Dayton Ave, Sleepy Hollow, NY 10591, USA","15 Dayton Ave, Sleepy Hollow, NY 10591, USA",41.09355,-73.834772,,USA
Archives nationales d'outre-mer,61561,2010-09-23,2010-09-01,archives,national,http://www.archivesnationales.culture.gouv.fr/anom/fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"29, chemin du moulin de Testas, 13090, Aix-En-Provence, France","29, chemin du moulin de Testas, 13090, Aix-En-Provence, France","29, chemin du moulin de Testas, 13090, Aix-En-Provence, France",43.51460575,5.44810094026758,13090,France
Ville de Besançon,48565,2010-09-28,2010-09-01,administrative district,municipal,https://www.besancon.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"2 rue Mégevand, 25034, Besançon, France","2 rue Mégevand, 25034, Besançon, France","2 rue Mégevand, 25034, Besançon, France",47.2366813,6.0220935,25034,France
Conseil Général de la Martinique,35569,2010-10-22,2010-10-01,administrative district,departemental,https://www.cg972.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Conseil Général de la Martinique, Rue Gaston Defferre - Cluny, CS 30137, 97201, Fort-de-France cedex, Martinique","Centre Administratif,  bd Chevalier Ste Marthe, 97200, Fort-de-France, Martinique","Rue Gaston Defferre, 97200, Fort-de-France, Martinique",14.6212094,-61.0808308,97200,France
ITHAKA,22573,2010-11-18,2010-11-01,education,,https://www.ithaka.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"2 Rector Street, 18th Floor, New York, NY 10006, USA","2 Rector Street, 18th Floor, New York, NY 10006, USA","2 Rector Street, New York, NY 10006, USA",40.7080916,-74.0129519,,USA
Archives départementales de l'Allier,84133,2010-11-22,2010-11-01,archives,departemental,https://archives.allier.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Parc de Bellevue, 03400, Yzeure, France","Parc de Bellevue, 03400, Yzeure, France","rue de Bellevue, 03400, Yzeure, France",46.5599841,3.346154,3400,France
Archives départementales de la Côte-d'Or,71137,2010-11-25,2010-11-01,archives,departemental,http://www.archives.cotedor.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"11 Rue d'Auxonne, 21000, Dijon, France","11 Rue d'Auxonne, 21000, Dijon, France","11 Rue d'Auxonne, 21000, Dijon, France",47.3158199,5.045077,21000,France
Österreichische Nationalbibliothek,58141,2010-12-03,2010-12-01,library,,https://www.onb.ac.at,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"1015 Wien, Austria","1015 Wien, Austria","1015 Wien, Austria",48.1739672,16.3314815,,Austria
