who,what,when,when_yyyy_mm,Field,Area,where,how_nfp,how_nr,how_op,how_cc,how_year,how_policy,why,EZID,contact (surname),contact (firstname),contact (current only),Provider (surname),Provider (firstname),Provider (mail),address (postal),address (location),address (map),latitude,longitude,postcode,country
George Eastman House - International Museum of Photography and Film,36253,2009-03-17,2009-03-01,museum,,https://www.eastman.org/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"900 East Ave, Rochester, NY 14607, USA","900 East Ave, Rochester, NY 14607, USA","900 East Ave, Rochester, NY 14607, USA",43.1531296,-77.5798264,,USA
Appalachian State University,23257,2009-05-18,2009-05-01,university,,https://www.appstate.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Boone, North Carolina 28608, USA","Boone, North Carolina 28608, USA","Boone, North Carolina 28608, USA",36.216795,-81.6745517,,USA
Jüdisches Museum Berlin,10261,2009-07-22,2009-07-01,museum,,https://www.jmberlin.de,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Lindenstraße 9-14, 10969 Berlin, Germany","Lindenstraße 9-14, 10969 Berlin, Germany","Lindenstraße 9-14, 10969 Berlin, Germany",52.50187965,13.3962249953033,,Germany
University of Houston,84475,2009-07-22,2009-07-01,university,,https://id.lib.uh.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"220 School of Music Building, Houston, TX 77004, USA","4800 Calhoun Rd, Houston, TX 77004, USA","4800 Calhoun Rd, Houston, TX 77004, USA",29.7207902,-95.3440627149137,,USA
Consejo Superior de Investigaciones Científicas,71479,2009-10-14,2009-10-01,research,,https://www.csic.es,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Calle Carretera, 0, 28500 Arganda del Rey, Madrid, Spain","Calle Carretera, 0, 28500 Arganda del Rey, Madrid, Spain","Calle Carretera, 0, 28500 Arganda del Rey, Madrid, Spain",40.2999616,-3.4349945,,Spain
Massachusetts Institute of Technology,32833,2009-11-17,2009-11-01,research,,https://libraries.mit.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"77 Massachusetts Avenue, Cambridge, MA 02139-4307, USA","77 Massachusetts Avenue, Cambridge, MA 02139-4307, USA","77 Massachusetts Avenue, Cambridge, MA 02139-4307, USA",42.3592962,-71.0930833324271,,USA
Simon Fraser University,19837,2009-12-16,2009-12-01,university,,https://www.sfu.ca,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"8888 University Drive, Burnaby, BC, Canada V5A 1S6","8888 University Drive, Burnaby, BC, Canada V5A 1S6","Burnaby, BC, Canada",49.2433804,-122.9725459,,Canada
British Library,81055,2010-01-21,2010-01-01,library,,https://www.bl.uk,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"96 Euston Rd, Kings Cross, London NW1 2DB, United Kingdom","96 Euston Rd, Kings Cross, London NW1 2DB, United Kingdom","96 Euston Road, London, United Kingdom",51.5298765,-0.127719844483978,,United Kingdom
Columbia College Chicago,55405,2010-02-19,2010-02-01,university,,https://www.colum.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"525 S State St, Chicago, IL 60605, USA","525 S State St, Chicago, IL 60605, USA","525 S State St, Chicago, IL 60605, USA",41.87497345,-87.6271441026879,,USA
The Pennsylvania State University,42409,2010-03-03,2010-03-01,university,,https://www.psu.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"201 Old Main, University Park, Pennsylvania 16802, USA","201 Old Main, University Park, Pennsylvania 16802, USA","201 Old Main, Pennsylvania 16802, USA",40.7964652,-77.862789491026,,USA
University of Pennsylvania,29413,2010-04-07,2010-04-01,university,,https://www.upenn.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"3420 Walnut St, Philadelphia, PA 19104, USA","3420 Walnut St, Philadelphia, PA 19104, USA","3420 Walnut St, Philadelphia, PA 19104, USA",39.95271395,-75.1939327992977,,USA
University of Kentucky Libraries,16417,2010-04-09,2010-04-01,university,,https://www.uky.edu/UKHome/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"500 S. Limestone St., Lexington, KY 40508, USA","500 S. Limestone St., Lexington, KY 40508, USA","500 S. Limestone St., Lexington, KY 40508, USA",38.039056,-84.506638,,USA
Humboldt-Universität zu Berlin,77635,2010-06-07,2010-06-01,university,,https://www.hu-berlin.de/de,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Unter den Linden 6, 10117 Berlin, Germany","Unter den Linden 6, 10117 Berlin, Germany","Unter den Linden 6, 10117 Berlin, Germany",52.51858145,13.3928784024504,,Germany
University of Illinois at Urbana Champaign,51985,2010-07-12,2010-07-01,university,,https://illinois.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"1408 W Gregory Dr #203, Urbana, IL 61801, USA","1408 W Gregory Dr #203, Urbana, IL 61801, USA","1408 W Gregory Doctor, Urbana, IL 61801, USA",40.10471855,-88.2289901451319,,USA
"People, Groups, and Institutions as Agents",99166,2010-08-04,2010-08-01,,,http://n2t.net,False,NR,OP,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"415 20th St, Oakland, CA 94612, USA","415 20th St, Oakland, CA 94612, USA","415 20th St, Oakland, CA 94612, USA",37.8086782082007,-122.267477033473,,USA
NAAN Reserved for Invalid or Impossible ARKs,99999,2010-08-04,2010-08-01,,,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"415 20th St, Oakland, CA 94612, USA","415 20th St, Oakland, CA 94612, USA","415 20th St, Oakland, CA 94612, USA",37.8086782082007,-122.267477033473,,USA
The George Washington University,38989,2010-08-20,2010-08-01,university,,https://gwu.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"2130 H St NW, Washington, DC 20052, USA","2130 H St NW, Washington, DC 20052, USA","2130 H St NW, Washington, DC 20052, USA",38.89923265,-77.0483857236381,,USA
Rockefeller Archive Center,74557,2010-08-31,2010-08-01,archives,,http://www.rockarch.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"15 Dayton Ave, Sleepy Hollow, NY 10591, USA","15 Dayton Ave, Sleepy Hollow, NY 10591, USA","15 Dayton Ave, Sleepy Hollow, NY 10591, USA",41.09355,-73.834772,,USA
ITHAKA,22573,2010-11-18,2010-11-01,education,,https://www.ithaka.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"2 Rector Street, 18th Floor, New York, NY 10006, USA","2 Rector Street, 18th Floor, New York, NY 10006, USA","2 Rector Street, New York, NY 10006, USA",40.7080916,-74.0129519,,USA
Österreichische Nationalbibliothek,58141,2010-12-03,2010-12-01,library,,https://www.onb.ac.at,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"1015 Wien, Austria","1015 Wien, Austria","1015 Wien, Austria",48.1739672,16.3314815,,Austria
New York Public Library,45145,2010-12-18,2010-12-01,library,,https://www.nypl.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"5th Ave at 42nd St, New York, NY 10018, USA","5th Ave at 42nd St, New York, NY 10018, USA","Fifth Avenue, New York, NY 10018, USA",42.7133664,-73.708903,,USA
Purdue University,34231,2011-01-24,2011-01-01,university,,https://www.purdue.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"610 Purdue Mall, West Lafayette, IN 47907, USA","610 Purdue Mall, West Lafayette, IN 47907, USA","Purdue Mall, West Lafayette, IN 47907, USA",40.4287079,-86.9136899601775,,USA
Biblioteca Nacional de Portugal,80713,2011-02-12,2011-02-01,library,,http://www.bnportugal.gov.pt,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Campo Grande 83, 1749-081 Lisboa, Portugal","Campo Grande 83, 1749-081 Lisboa, Portugal","Campo Grande 83, 1749-081 Lisboa, Portugal",38.75097595,-9.1521821512471,,Portugal
Museum of Vertebrate Zoology,87299,2011-03-20,2011-03-01,museum,,https://www.ircica.org,False,NR,OP,(:unkn) unknown,2011,,EZID ARK,False,Anonyme,Anonyme,contact@email.com,,,,"101 Sproul Hall, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA",37.8702807,-122.2586263,,USA
"Research Center for Islamic History, Art and Culture",41725,2011-04-22,2011-04-01,research,,https://www.centrodeestudiosandaluces.es,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Barbaros Bulvari, Besiktas 34349, Istanbul, Turkey","Barbaros Bulvari, Besiktas 34349, Istanbul, Turkey","Barbaros Bulvari, Besiktas 34349, Istanbul, Turkey",41.0575186,29.0100543,,Turkey
Fundación Centro de Estudios Andaluces,51301,2011-06-20,2011-06-01,research,,https://www.ucsc.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,True,Anonyme,Anonyme,contact@email.com,,,,"Fundación Pública Andaluza Centro de Estudios Andaluces, C/Bailén, 50, 41001 Sevilla, Spain","Calle Bailén, 50, 41001 Sevilla, Spain","Calle Bailén, 50, 41001 Sevilla, Spain",37.3907122,-5.9980842,,Spain
University of California Santa Cruz,38305,2011-06-24,2011-06-01,university,,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,"EZID ARK, started as ARK",True,Anonyme,Anonyme,contact@email.com,,,,"1156 High St, Santa Cruz, CA 95064, USA","1156 High St, Santa Cruz, CA 95064, USA","1156 High St, Santa Cruz, CA 95064, USA",36.9773836423961,-122.054935671938,,USA
National Center for Ecological Analysis and Synthesis,85063,2011-12-13,2011-12-01,research,,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"552 University Rd, Santa Barbara, CA 93106, USA","552 University Rd, Santa Barbara, CA 93106, USA","552 University Rd, Santa Barbara, CA 93106, USA",34.4162606,-119.8464093,,USA
National Center for Atmospheric Research,85065,2011-12-13,2011-12-01,research,,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"1850 Table Mesa Dr, Boulder, CO 80305, USA","1850 Table Mesa Dr, Boulder, CO 80305, USA","1850 Table Mesa Dr, Boulder, CO 80305, USA",39.97788995,-105.274866442258,,USA
United States Geological Survey,85066,2011-12-13,2011-12-01,research,,https://www.opentopography.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"Oak Ridge, TN 37831, USA","Oak Ridge, TN 37831, USA","Oak Ridge, TN 37831, USA",36.0103562,-84.2696449,,USA
SDSC OpenTopography Facility,85069,2012-02-07,2012-02-01,research,,http://ucmercedlibrary.info,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA",32.8777424,-117.2394425,,USA
University of California Merced,86071,2012-03-02,2012-03-01,university,,http://www.signaling-gateway.org/molecule,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,"EZID ARK, started as ARK",True,Anonyme,Anonyme,contact@email.com,,,,"5200 Lake Rd, Merced, CA 95343, USA","5200 Lake Rd, Merced, CA 95343, USA","5200 Lake Rd, Merced, CA 95343, USA",37.3468521,-120.4326154,,USA
UCSD Signaling Gateway,86072,2012-03-05,2012-03-01,research,,https://www.fhcrc.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA",32.8777424,-117.2394425,,USA
Fred Hutchinson Cancer Research Center,86076,2012-03-05,2012-03-01,research,,https://www.eeb.ucla.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"1100 Fairview Ave. N., P.O. Box 19024, Seattle, WA 98109-1024, USA","1100 Fairview Ave N, Seattle, WA 98109, USA","1100 Fairview Ave N, Seattle, WA 98109, USA",47.6277525,-122.330673018417,,USA
UCLA Department of Ecology and Evolutionary Biology,86079,2012-03-12,2012-03-01,research,,https://crcns.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"10742 Dickson Ct., Los Angeles, CA 90095, USA","10742 Dickson Ct., Los Angeles, CA 90095, USA","Dickson Ct, Los Angeles, CA 90095, USA",34.0090999,-117.8649746,,USA
Collaborative Research Computational Neuroscience Program,86080,2012-03-12,2012-03-01,research,,https://www.upei.ca,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,False,Anonyme,Anonyme,contact@email.com,,,,"101 Sproul Hall, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA","Barrow Lane, Berkeley, CA 94704, USA",37.8702807,-122.2586263,,USA
