Who,What,When,Where,How (profit N-F),NR,Opacity,How (check character),How (year),How (policy),Why,Contact (surname),Contact (firstname),Contact (current only),Provider (surname),Provider (firstname),Provider (email),Address (postal),Address (location)
Digital Curation Centre,64269,2004-09-22,https://www.dcc.ac.uk,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2004,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Digital Curation Centre, University of Edinburgh, Argyle House, 3 Lady Lawson Street, Edinburgh, EH3 9DR, Scotland","University of Edinburgh, Edinburgh, EH8 9YL, UK"
New York University,62624,2004-10-07,https://library.nyu.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2004,,"ARK, once EZID ARK",Anonyme,Anonyme,contact@email.com,,,,"70 Washington Square South, New York NY 10012, USA","70 Washington Square South, New York NY 10012, USA"
University of North Texas,67531,2004-10-07,https://digital.library.unt.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2004,,ARK,Anonyme,Anonyme,contact@email.com,,,,"1506 W Highland St, Denton, TX 76203, USA","1506 W Highland St, Denton, TX 76203, USA"
Portico Digital Preservation Service,27927,2004-12-10,https://www.portico.org/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2004,,ARK,Anonyme,Anonyme,contact@email.com,,,,"2 Rector Street, 18th Floor, New York, NY 10006, USA","2 Rector Street, 18th Floor, New York, NY 10006, USA"
University of California Los Angeles,21198,2005-05-02,https://library.ucla.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2005,,"EZID ARK, started as ARK",Anonyme,Anonyme,contact@email.com,,,,"10740 Dickson Ct., Los Angeles, CA 90095, USA","10740 Dickson Ct., Los Angeles, CA 90095, USA"
Bibliothèque nationale de France,12148,2005-07-17,http://ark.bnf.fr,False,NR,OP,CC,2005,http://ark.bnf.fr/ark:/12148/bpt6k2102478.policy,ARK,Anonyme,Anonyme,contact@email.com,,,,"Quai François Mauriac, 75706, Paris Cedex 13, France","Quai François Mauriac, 75706, Paris, France"
Princeton University,88435,2005-10-06,https://diglib.princeton.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2005,,"ARK, later EZID ARK",Anonyme,Anonyme,contact@email.com,,,,"Princeton NJ 08544, USA","Princeton NJ 08544, USA"
"Archives of Region of Västra Götaland and City of Gothenburg, Sweden",89901,2005-11-30,https://www.vgregion.se/politik/politisk-organisation/politiska-organ-a-o/arkivnamnden/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2005,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Otterhällegatan 5 411 18 Gothenburg, Sweden","Otterhällegatan 5 411 18 Gothenburg, Sweden"
Northwest Digital Archives,80444,2006-01-06,https://archiveswest.orbiscascade.org/search/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2006,,ARK,Anonyme,Anonyme,contact@email.com,,,,"140 Glenn Terrell Mall, Pullman, WA 99164, USA","140 Glenn Terrell Mall, Pullman, WA 99164, USA"
Emory University,25593,2006-01-12,https://pid.emory.edu/admin/login/?next=/admin/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2006,,ARK,Anonyme,Anonyme,contact@email.com,,,,"540 Ashbury Circle, Atlanta, GA 30322, USA","540 Ashbury Circle, Atlanta, GA 30307, USA"
University of Kansas,25031,2006-03-29,https://www.lib.ku.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2006,,ARK,Anonyme,Anonyme,contact@email.com,,,,"1425 Jayhawk Blvd, Lawrence, KS 66045, USA","1425 Jayhawk Blvd, Lawrence, KS 66045, USA"
"Centre for Ecology & Hydrology, UK",17101,2006-08-20,https://www.ceh.ac.uk,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2006,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Crowmarsh Gifford, Wallingford, Oxfordshire OX10 8BB, UK","Crowmarsh Gifford, Wallingford, Oxfordshire OX10 8BB, UK"
Google LLC,78319,2006-08-22,https://www.google.com,True,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2006,,ARK,Anonyme,Anonyme,contact@email.com,,,,"1600 Amphitheatre Pkwy, Mountain View, CA 94043, USA","1600 Amphitheatre Pkwy, Mountain View, CA 94043, USA"
University of Calgary,65323,2007-06-05,https://library.ucalgary.ca,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2007,,ARK,Anonyme,Anonyme,contact@email.com,,,,"410 University Ct NW, Calgary, AB T2N 1N4, Canada","410 University Ct NW, Calgary, AB T2N 1N4, Canada"
University of Chicago,61001,2007-09-11,https://www.lib.uchicago.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2007,,ARK,Anonyme,Anonyme,contact@email.com,,,,"5801 S Ellis Ave, Chicago, IL 60637, USA","5801 S Ellis Ave, Chicago, IL 60637, USA"
Metadata Terms,99152,2007-10-02,http://n2t.net,False,NR,OP,(:unkn) unknown,2007,,ARK,Anonyme,Anonyme,contact@email.com,,,,"415 20th St, Oakland, CA 94612, USA","415 20th St, Oakland, CA 94612, USA"
NAAN Reserved for use in Examples,12345,2007-10-02,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2007,,ARK,Anonyme,Anonyme,contact@email.com,,,,"415 20th St, Oakland, CA 94612, USA","415 20th St, Oakland, CA 94612, USA"
Bibliothèque et Archives Nationales du Québec,52327,2007-10-18,https://www.banq.qc.ca/accueil/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2007,,ARK,Anonyme,Anonyme,contact@email.com,,,,"475 Boul de Maisonneuve E, Montréal, QC H2L 5C4, Canada","475 Boul de Maisonneuve E, Montréal, QC H2L 5C4, Canada"
National Széchényi Library,39331,2008-03-05,http://www.oszk.hu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2008,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Budapest, Szent György tér 4-5-6., 1014, Hungary","Budapest, Szent György tér 4-5-6., 1014, Hungary"
Library and Archives Canada,26677,2008-05-15,https://collectionscanada.ca,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2008,,ARK,Anonyme,Anonyme,contact@email.com,,,,"395 Wellington Street, Ottawa, ON K1A 0N4, CANADA","395 Wellington Street, Ottawa, ON K1A 0N4, CANADA"
Centre de Musique Baroque de Versailles,13681,2008-09-19,https://www.cmbv.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2008,,ARK,Anonyme,Anonyme,contact@email.com,,,,"22 Avenue de Paris, 78000, Versailles, France","22 Avenue de Paris, 78000, Versailles, France"
Centre Informatique National de l'Enseignement Supérieur,87895,2008-10-14,https://www.cines.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2008,,ARK,Anonyme,Anonyme,contact@email.com,,,,"950 Rue de St - Priest, 34000, Montpellier, France","950 Rue de St - Priest, 34000, Montpellier, France"
Bibliothèque municipale de Toulouse,74899,2009-01-23,https://www.bibliotheque.toulouse.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,Anonyme,Anonyme,contact@email.com,,,,"1 Allée Jacques Chaban-Delmas, 31500, Toulouse, France","1 Allée Jacques Chaban-Delmas, 31500, Toulouse, France"
Family Search,61903,2009-02-13,https://familysearch.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,Anonyme,Anonyme,contact@email.com,,,,"50 N Temple, Salt Lake City, UT 84150, USA","50 N Temple, Salt Lake City, UT 84150, USA"
University of California Santa Barbara,48907,2009-03-13,https://library.ucsb.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,"EZID ARK, started as ARK",Anonyme,Anonyme,contact@email.com,,,,"552 University Rd, Santa Barbara, CA 93106, USA","552 University Rd, Santa Barbara, CA 93106, USA"
George Eastman House - International Museum of Photography and Film,36253,2009-03-17,https://www.eastman.org/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,Anonyme,Anonyme,contact@email.com,,,,"900 East Ave, Rochester, NY 14607, USA","900 East Ave, Rochester, NY 14607, USA"
Appalachian State University,23257,2009-05-18,https://www.appstate.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Boone, North Carolina 28608, USA","Boone, North Carolina 28608, USA"
Jüdisches Museum Berlin,10261,2009-07-22,https://www.jmberlin.de,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Lindenstraße 9-14, 10969 Berlin, Germany","Lindenstraße 9-14, 10969 Berlin, Germany"
University of Houston,84475,2009-07-22,https://id.lib.uh.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,Anonyme,Anonyme,contact@email.com,,,,"220 School of Music Building, Houston, TX 77004, USA","4800 Calhoun Rd, Houston, TX 77004, USA"
Consejo Superior de Investigaciones Científicas,71479,2009-10-14,https://www.csic.es,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Calle Carretera, 0, 28500 Arganda del Rey, Madrid, Spain","Calle Carretera, 0, 28500 Arganda del Rey, Madrid, Spain"
Archives départementales de la Somme,58483,2009-10-21,https://archives.somme.fr/,False,NR,OP,(:unkn) unknown,2009,,ARK,Anonyme,Anonyme,contact@email.com,,,,"53, rue de la République, B.P. 32615, 80026, Amiens, France","61 Rue Saint-Fuscien, 80000, Amiens, France"
Bibliothèque Cujas,45829,2009-10-28,http://biu-cujas.univ-paris1.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,Anonyme,Anonyme,contact@email.com,,,,"2 Rue Cujas, 75005, Paris, France","2 Rue Cujas, 75005, Paris, France"
Massachusetts Institute of Technology,32833,2009-11-17,https://libraries.mit.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,Anonyme,Anonyme,contact@email.com,,,,"77 Massachusetts Avenue, Cambridge, MA 02139-4307, USA","77 Massachusetts Avenue, Cambridge, MA 02139-4307, USA"
Simon Fraser University,19837,2009-12-16,https://www.sfu.ca,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,Anonyme,Anonyme,contact@email.com,,,,"8888 University Drive, Burnaby, BC, Canada V5A 1S6","8888 University Drive, Burnaby, BC, Canada V5A 1S6"
British Library,81055,2010-01-21,https://www.bl.uk,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"96 Euston Rd, Kings Cross, London NW1 2DB, United Kingdom","96 Euston Rd, Kings Cross, London NW1 2DB, United Kingdom"
Centre National d'Études Spatiales,68059,2010-02-02,https://www.cnes.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"2 Place Maurice Quentin, 75001, Paris, France","2 Place Maurice Quentin, 75001, Paris, France"
Columbia College Chicago,55405,2010-02-19,https://www.colum.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"525 S State St, Chicago, IL 60605, USA","525 S State St, Chicago, IL 60605, USA"
The Pennsylvania State University,42409,2010-03-03,https://www.psu.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"201 Old Main, University Park, Pennsylvania 16802, USA","201 Old Main, University Park, Pennsylvania 16802, USA"
University of Pennsylvania,29413,2010-04-07,https://www.upenn.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"3420 Walnut St, Philadelphia, PA 19104, USA","3420 Walnut St, Philadelphia, PA 19104, USA"
University of Kentucky Libraries,16417,2010-04-09,https://www.uky.edu/UKHome/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"500 S. Limestone St., Lexington, KY 40508, USA","500 S. Limestone St., Lexington, KY 40508, USA"
Humboldt-Universität zu Berlin,77635,2010-06-07,https://www.hu-berlin.de/de,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Unter den Linden 6, 10117 Berlin, Germany","Unter den Linden 6, 10117 Berlin, Germany"
Lo CIRDÒC - Institut occitan de cultura,64981,2010-06-21,https://www.locirdoc.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"1 bis boulevard Du Guesclin, Place du 14 juillet, 34500, Béziers, France","1 bis boulevard Du Guesclin, Place du 14 juillet, 34500, Béziers, France"
University of Illinois at Urbana Champaign,51985,2010-07-12,https://illinois.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"1408 W Gregory Dr #203, Urbana, IL 61801, USA","1408 W Gregory Dr #203, Urbana, IL 61801, USA"
"People, Groups, and Institutions as Agents",99166,2010-08-04,http://n2t.net,False,NR,OP,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"415 20th St, Oakland, CA 94612, USA","415 20th St, Oakland, CA 94612, USA"
NAAN Reserved for Invalid or Impossible ARKs,99999,2010-08-04,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"415 20th St, Oakland, CA 94612, USA","415 20th St, Oakland, CA 94612, USA"
The George Washington University,38989,2010-08-20,https://gwu.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"2130 H St NW, Washington, DC 20052, USA","2130 H St NW, Washington, DC 20052, USA"
Archives départementales du Doubs,25993,2010-08-23,https://archives.doubs.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"4-8 Rue Marc Bloch, 25000, Besançon, France","4-8 Rue Marc Bloch, 25000, Besançon, France"
Archives départementales du Territoire de Belfort,12997,2010-08-23,https://archives.territoiredebelfort.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Hôtel du département 6, place de la Révolution française 90020 Belfort cedex, France","4 rue de l'Ancien Théâtre, 90000, Belfort, France"
Archives de la ville de Pontivy,87553,2010-08-23,http://archives.pontivy.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"8, rue François Mitterrand, 56306 Pontivy, France","8, rue François Mitterrand, 56306, Pontivy, France"
Rockefeller Archive Center,74557,2010-08-31,http://www.rockarch.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"15 Dayton Ave, Sleepy Hollow, NY 10591, USA","15 Dayton Ave, Sleepy Hollow, NY 10591, USA"
Archives nationales d'outre-mer,61561,2010-09-23,http://www.archivesnationales.culture.gouv.fr/anom/fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"29, chemin du moulin de Testas, 13090, Aix-En-Provence, France","29, chemin du moulin de Testas, 13090, Aix-En-Provence, France"
Ville de Besançon,48565,2010-09-28,https://www.besancon.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"2 rue Mégevand, 25034, Besançon, France","2 rue Mégevand, 25034, Besançon, France"
Conseil Général de la Martinique,35569,2010-10-22,https://www.cg972.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Conseil Général de la Martinique, Rue Gaston Defferre - Cluny, CS 30137, 97201, Fort-de-France cedex, Martinique","Centre Administratif,  bd Chevalier Ste Marthe, 97200, Fort-de-France, Martinique"
ITHAKA,22573,2010-11-18,https://www.ithaka.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"2 Rector Street, 18th Floor, New York, NY 10006, USA","2 Rector Street, 18th Floor, New York, NY 10006, USA"
Archives départementales de l'Allier,84133,2010-11-22,https://archives.allier.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Parc de Bellevue, 03400, Yzeure, France","Parc de Bellevue, 03400, Yzeure, France"
Archives départementales de la Côte-d'Or,71137,2010-11-25,http://www.archives.cotedor.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"11 Rue d'Auxonne, 21000, Dijon, France","11 Rue d'Auxonne, 21000, Dijon, France"
Österreichische Nationalbibliothek,58141,2010-12-03,https://www.onb.ac.at,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"1015 Wien, Austria","1015 Wien, Austria"
New York Public Library,45145,2010-12-18,https://www.nypl.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"5th Ave at 42nd St, New York, NY 10018, USA","5th Ave at 42nd St, New York, NY 10018, USA"
Purdue University,34231,2011-01-24,https://www.purdue.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,Anonyme,Anonyme,contact@email.com,,,,"610 Purdue Mall, West Lafayette, IN 47907, USA","610 Purdue Mall, West Lafayette, IN 47907, USA"
Centre national de documentation pédagogique,19153,2011-02-12,http://www.cndp.fr/Accueil/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,"EZID ARK, started as ARK",Anonyme,Anonyme,contact@email.com,,,,"4, avenue du Futuroscope, Téléport 1, CS 80158, 80158, Futuroscope Cedex, France","Futuroscope, France"
Biblioteca Nacional de Portugal,80713,2011-02-12,http://www.bnportugal.gov.pt,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Campo Grande 83, 1749-081 Lisboa, Portugal","Campo Grande 83, 1749-081 Lisboa, Portugal"
Ministère de la culture et de la communication,67717,2011-03-14,http://www.culture.fr/Ressources/Moteur-Collections,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,Anonyme,Anonyme,contact@email.com,,,,"182, rue Saint-Honoré, 75033, Paris cedex 01, France","182, rue Saint-Honoré, 75001, Paris, France"
Museum of Vertebrate Zoology,87299,2011-03-20,http://n2t.net,False,NR,OP,(:unkn) unknown,2011,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"101 Sproul Hall, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA"
Institut national d'histoire de l'art,54721,2011-03-31,https://www.inha.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,Anonyme,Anonyme,contact@email.com,,,,"2 rue Vivienne, 75002, Paris, France","2 rue Vivienne, 75002, Paris, France"
"Research Center for Islamic History, Art and Culture",41725,2011-04-22,https://www.ircica.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Barbaros Bulvari, Besiktas 34349, Istanbul, Turkey","Barbaros Bulvari, Besiktas 34349, Istanbul, Turkey"
Archives départementales du Rhône,28729,2011-05-08,https://archives.rhone.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,Anonyme,Anonyme,contact@email.com,,,,"34 rue du général Mouton-Duvernet - 69003 Lyon, France","34 rue du général Mouton-Duvernet, 69003 Lyon, France"
Archives départementales du Cantal,16075,2011-05-27,http://archives.cantal.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Place Hôtel de ville, 15000, Aurillac, France","Place Hôtel de ville, 15000, Aurillac, France"
Archives départementales de la Savoie,77293,2011-06-07,https://patrimoines.savoie.fr/web/dsp_6165/accueil,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"244, quai de la Rize, 73000, Chambéry, France","244, quai de la Rize, 73000, Chambéry, France"
Archives départementales du Pas-de-Calais,64297,2011-06-07,http://www.archivespasdecalais.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"59 Rue Anatole France, 62400, Béthune, France","244, quai de la Rize, 73000, Chambéry, France"
Fundación Centro de Estudios Andaluces,51301,2011-06-20,https://www.centrodeestudiosandaluces.es,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Fundación Pública Andaluza Centro de Estudios Andaluces, C/Bailén, 50, 41001 Sevilla, Spain","Calle Bailén, 50, 41001 Sevilla, Spain"
University of California Santa Cruz,38305,2011-06-24,https://www.ucsc.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,"EZID ARK, started as ARK",Anonyme,Anonyme,contact@email.com,,,,"1156 High St, Santa Cruz, CA 95064, USA","1156 High St, Santa Cruz, CA 95064, USA"
Archives départementales de la Gironde,25651,2011-08-18,https://archives.gironde.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,Anonyme,Anonyme,contact@email.com,,,,"72, cours Balguerie-Stuttenberg, 33300, Bordeaux, France","72, cours Balguerie-Stuttenberg, 33300, Bordeaux, France"
Agence Livre & Lecture Bourgogne-Franche-Comté,12655,2011-09-13,https://www.livre-bourgognefranchecomte.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,Anonyme,Anonyme,contact@email.com,,,,"25, rue Gambetta, 25000, Besançon, France","25, rue Gambetta, 25000, Besançon, France"
Archives départementales de la Marne,86869,2011-09-26,https://archives.marne.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,Anonyme,Anonyme,contact@email.com,,,,"2 bis rue de Jessaint, CS30454 - 51038 Châlons-en-Champagne, France","23 Rue Carnot, 51000, Châlons-en-Champagne, France"
Ville de Paris,73873,2011-12-13,http://www.paris.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Place de l'Hôtel de Ville, 75196 Paris cedex 04, France","Place de l'Hôtel de Ville, 75004, Paris, France"
National Center for Ecological Analysis and Synthesis,85063,2011-12-13,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"552 University Rd, Santa Barbara, CA 93106, USA","552 University Rd, Santa Barbara, CA 93106, USA"
National Center for Atmospheric Research,85065,2011-12-13,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"1850 Table Mesa Dr, Boulder, CO 80305, USA","1850 Table Mesa Dr, Boulder, CO 80305, USA"
United States Geological Survey,85066,2011-12-13,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"Oak Ridge, TN 37831, USA","Oak Ridge, TN 37831, USA"
Archives départementales de la Nièvre,60877,2012-01-02,https://archives.cg58.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,Anonyme,Anonyme,contact@email.com,,,,"1 Rue Charles-Roy, 58000, Nevers, France","1 Rue Charles-Roy, 58000, Nevers, France"
Inoc Aquitania,32149,2012-01-02,https://www.oc-cultura.eu/oc/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Château d'Este, Avenue de la Pléiade, 64140, Billère, France","Château d'Este, Avenue de la Pléiade, 64140, Billère, France"
