Who,What,When,Where,How (profit N-F),NR,Opacity,How (check character),How (year),How (policy),Why,Contact (surname),Contact (firstname),Contact (current only),Provider (surname),Provider (firstname),Provider (email),Address (postal),Address (location)
Archives de la ville de Pontivy,87553,2010-08-23,http://archives.pontivy.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"8, rue François Mitterrand, 56306 Pontivy, France","8, rue François Mitterrand, 56306, Pontivy, France"
Archives nationales d'outre-mer,61561,2010-09-23,http://www.archivesnationales.culture.gouv.fr/anom/fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"29, chemin du moulin de Testas, 13090, Aix-En-Provence, France","29, chemin du moulin de Testas, 13090, Aix-En-Provence, France"
Ville de Besançon,48565,2010-09-28,https://www.besancon.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"2 rue Mégevand, 25034, Besançon, France","2 rue Mégevand, 25034, Besançon, France"
Conseil Général de la Martinique,35569,2010-10-22,https://www.cg972.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Conseil Général de la Martinique, Rue Gaston Defferre - Cluny, CS 30137, 97201, Fort-de-France cedex, Martinique","Centre Administratif,  bd Chevalier Ste Marthe, 97200, Fort-de-France, Martinique"
Archives départementales de l'Allier,84133,2010-11-22,https://archives.allier.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Parc de Bellevue, 03400, Yzeure, France","Parc de Bellevue, 03400, Yzeure, France"
Archives départementales de la Côte-d'Or,71137,2010-11-25,http://www.archives.cotedor.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"11 Rue d'Auxonne, 21000, Dijon, France","11 Rue d'Auxonne, 21000, Dijon, France"
Centre national de documentation pédagogique,19153,2011-02-12,http://www.cndp.fr/Accueil/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,"EZID ARK, started as ARK",Anonyme,Anonyme,contact@email.com,,,,"4, avenue du Futuroscope, Téléport 1, CS 80158, 80158, Futuroscope Cedex, France","Futuroscope, France"
Ministère de la culture et de la communication,67717,2011-03-14,http://www.culture.fr/Ressources/Moteur-Collections,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,Anonyme,Anonyme,contact@email.com,,,,"182, rue Saint-Honoré, 75033, Paris cedex 01, France","182, rue Saint-Honoré, 75001, Paris, France"
Institut national d'histoire de l'art,54721,2011-03-31,https://www.inha.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,Anonyme,Anonyme,contact@email.com,,,,"2 rue Vivienne, 75002, Paris, France","2 rue Vivienne, 75002, Paris, France"
Archives départementales du Rhône,28729,2011-05-08,https://archives.rhone.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,Anonyme,Anonyme,contact@email.com,,,,"34 rue du général Mouton-Duvernet - 69003 Lyon, France","34 rue du général Mouton-Duvernet, 69003 Lyon, France"
Archives départementales du Cantal,16075,2011-05-27,http://archives.cantal.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Place Hôtel de ville, 15000, Aurillac, France","Place Hôtel de ville, 15000, Aurillac, France"
Archives départementales de la Savoie,77293,2011-06-07,https://patrimoines.savoie.fr/web/dsp_6165/accueil,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"244, quai de la Rize, 73000, Chambéry, France","244, quai de la Rize, 73000, Chambéry, France"
Archives départementales du Pas-de-Calais,64297,2011-06-07,http://www.archivespasdecalais.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"59 Rue Anatole France, 62400, Béthune, France","244, quai de la Rize, 73000, Chambéry, France"
Archives départementales de la Gironde,25651,2011-08-18,https://archives.gironde.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,Anonyme,Anonyme,contact@email.com,,,,"72, cours Balguerie-Stuttenberg, 33300, Bordeaux, France","72, cours Balguerie-Stuttenberg, 33300, Bordeaux, France"
Agence Livre & Lecture Bourgogne-Franche-Comté,12655,2011-09-13,https://www.livre-bourgognefranchecomte.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,Anonyme,Anonyme,contact@email.com,,,,"25, rue Gambetta, 25000, Besançon, France","25, rue Gambetta, 25000, Besançon, France"
Archives départementales de la Marne,86869,2011-09-26,https://archives.marne.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,Anonyme,Anonyme,contact@email.com,,,,"2 bis rue de Jessaint, CS30454 - 51038 Châlons-en-Champagne, France","23 Rue Carnot, 51000, Châlons-en-Champagne, France"
Ville de Paris,73873,2011-12-13,http://www.paris.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Place de l'Hôtel de Ville, 75196 Paris cedex 04, France","Place de l'Hôtel de Ville, 75004, Paris, France"
Archives départementales de la Nièvre,60877,2012-01-02,https://archives.cg58.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,Anonyme,Anonyme,contact@email.com,,,,"1 Rue Charles-Roy, 58000, Nevers, France","1 Rue Charles-Roy, 58000, Nevers, France"
Inoc Aquitania,32149,2012-01-02,https://www.oc-cultura.eu/oc/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Château d'Este, Avenue de la Pléiade, 64140, Billère, France","Château d'Este, Avenue de la Pléiade, 64140, Billère, France"
Université Claude Bernard Lyon 1,47881,2012-04-13,https://www.univ-lyon1.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,"EZID ARK, started as ARK",Anonyme,Anonyme,contact@email.com,,,,"43 Boulevard du 11 Novembre 1918, 69100, Villeurbanne, France","43 Boulevard du 11 Novembre 1918, 69100, Villeurbanne, France"
Archives départementales des Landes,35227,2012-04-24,https://www.archives.landes.fr,False,NR,OP,(:unkn) unknown,2012,,ARK,Anonyme,Anonyme,contact@email.com,,,,"25 place du 6e RPIMA, 40025, Mont-de-Marsan, France","25 place du 6e RPIMA, 40025, Mont-de-Marsan, France"
Archives départementales de l'Ain,22231,2012-05-26,https://www.archives.ain.fr/fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"1 Bd Paul Valéry, 01000, Bourg-en-Bresse, France","1 Bd Paul Valéry, 01000, Bourg-en-Bresse, France"
Archives départementales du Loir-et-Cher,57457,2012-07-11,http://www.culture41.fr/Archives-departementales,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"2 rue Louis Bodin, 41000, Blois, France","2 rue Louis Bodin, 41000, Blois, France"
Archives départementales de l'Oise,44803,2012-07-11,http://www.archives.oise.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"71 rue de Tilloy, 60024, Beauvais, France","71 rue de Tilloy, 60024, Beauvais, France"
Archives municipales de Lyon,18811,2012-09-17,https://www.archives-lyon.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"17 Rue du Dr Bouchut, 69003, Lyon, France","17 Rue du Dr Bouchut, 69003, Lyon, France"
Archives départementales de la Haute-Savoie,67033,2012-09-29,https://archives.hautesavoie.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"37 Bis Avenue de la Plaine, 74000, Annecy, France","37 Bis Avenue de la Plaine, 74000, Annecy, France"
Archives départementales du Cher,41383,2012-11-28,https://www.archives18.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Rue Jean Marie Heurtault de Lamerville, 18000, Bourges, France","Rue Jean Marie Heurtault de Lamerville, 18000, Bourges, France"
Archives départementales de la Vienne,28387,2012-12-11,https://archives-deux-sevres-vienne.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,Anonyme,Anonyme,contact@email.com,,,,"30 Rue des Champs Balais, 86000, Poitiers, France","30 Rue des Champs Balais, 86000, Poitiers, France"
Archives municipales de Saint-Denis,15391,2012-12-13,http://archives.ville-saint-denis.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"2 Place du Caquet, 93200, Saint-Denis, France","2 Place du Caquet, 93200, Saint-Denis, France"
Maison de l'Orient et la Méditerranée,76609,2012-12-19,https://www.mom.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,Anonyme,Anonyme,contact@email.com,,,,"86 Rue Pasteur, 69007, Lyon, France","86 Rue Pasteur, 69007, Lyon, France"
Institut de recherche et d'histoire des textes,63955,2013-01-29,https://www.irht.cnrs.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,Anonyme,Anonyme,contact@email.com,,,,"3 rue Michel-Ange - F-75794 Paris cedex 16, France","3 rue Michel-Ange, 75016, Paris , France"
Archives départementales de la Mayenne,37963,2013-02-15,https://archives.lamayenne.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"6 place des Archives, 53000, Laval, France","6 place des Archives, 53000, Laval, France"
Archives départementales de la Lozère,24967,2013-02-20,https://archives.lozere.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"12 avenue du Père Coudrin, 48000, Mende, France","12 avenue du Père Coudrin, 48000, Mende, France"
Archives départementales de l'Aveyron,11971,2013-02-26,http://archives.aveyron.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"25 avenue Victor Hugo, 12000, Rodez, France","25 avenue Victor Hugo, 12000, Rodez, France"
Archives départementales du Var,73531,2013-02-28,https://www.archives.var.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,Anonyme,Anonyme,contact@email.com,,,,"390 avenue des Lices, CS 41303, 83076 Toulon Cedex","660 boulevard J.-F. Kennedy, 83300, Draguignan, France"
Archives départementales de Saône-et-Loire,60535,2013-03-07,http://www.archives71.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Place des Carmélites CS 70126 - 71026 Mâcon Cedex 9, France","Place des Carmélites, 71000, Mâcon, France"
Archives départementales de la Haute-Loire,47539,2013-03-08,http://www.archives43.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,Anonyme,Anonyme,contact@email.com,,,,"4 Avenue de Meschede, 43000, Le Puy-en-Velay, France","4 Avenue de Meschede, 43000, Le Puy-en-Velay, France"
Archives départementales de la Manche,57115,2013-04-14,https://www.archives-manche.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Conseil departemental de la Manche 50050 Saint-Lô cedex, France","103 Rue Maréchal Juin, 50000, Saint-Lô, France"
Fondation Maison des Sciences de l'Homme,31123,2013-06-27,https://www.fmsh.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,Anonyme,Anonyme,contact@email.com,,,,"190 avenue de France, 75013, Paris, France","190 avenue de France, 75013, Paris, France"
Archives départementales du Val-d'Oise,18127,2013-07-16,https://archives.valdoise.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"3 Avenue de la Palette, 95000, Cergy-Pontoise, France","3 Avenue de la Palette, 95000, Cergy-Pontoise, France"
Musée des Augustins,66691,2013-08-02,https://www.augustins.org/fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,Anonyme,Anonyme,contact@email.com,,,,"21 rue de Metz, 31000, Toulouse, France","21 rue de Metz, 31000, Toulouse, France"
"Ministère de la Défense, Mémoire des hommes",40699,2013-08-31,http://www.memoiredeshommes.sga.defense.gouv.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,Anonyme,Anonyme,contact@email.com,,,,"60, boulevard du Général Martial Valin, 75509, Paris, France","60, boulevard du Général Martial Valin, 75015, Paris, France"
Archives départementales du Morbihan,15049,2013-09-19,https://archives.morbihan.fr/accueil,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"CS 52405 56010 Vannes cedex, France","80 Rue des Venetes, 56010, Vannes, France"
Archives départementales de l'Aisne,63271,2013-10-14,https://archives.aisne.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Parc Foch, Avenue du Maréchal Foch, 02000, Laon, France","Parc Foch, Avenue du Maréchal Foch, 02000, Laon, France"
Archives départementales des Vosges,50275,2013-10-30,https://archives.vosges.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"8 rue de la Préfecture 88088 Épinal, Cedex 9, France","4 Avenue Pierre Blanck, 88000, Épinal, France"
Archives départementales de l'Hérault,37279,2013-11-08,https://archives-pierresvives.herault.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Mas d'Alco, 1977 avenue des Moulins, 34087 Montpellier cedex 4, France","Mas d'Alco, 1977 avenue des Moulins, 34090, Montpellier, France"
Archives municipales d'Orléans,24625,2013-11-08,https://archives.orleans-metropole.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Hôtel de Ville, Place de l'Etape, 45040 Orléans cedex 01, France","5 Rue Fernand Rabier, 45000, Orléans, France"
Archives départementales du Puy-de-Dôme,72847,2013-11-21,https://www.archivesdepartementales.puy-de-dome.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Hôtel du Département, 24 rue Saint-Esprit, 63033, Clermont-Ferrand Cedex 1, France","75 rue de Neyrat, 63100, Clermont-Ferrand, France"
Conseil régional d’Occitanie,46855,2013-12-04,https://www.laregion.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,Anonyme,Anonyme,contact@email.com,,,,"201 avenue de la Pompignane, 34064, Montpellier, France","201 avenue de la Pompignane, 34064, Montpellier, France"
Bibliothèque publique d'information,34201,2014-01-03,https://www.bpi.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"1 Rue Beaubourg, 75004, Paris, France","1 Rue Beaubourg, 75004, Paris, France"
Archives municipales de Porto Vecchio,21205,2014-01-14,https://www.porto-vecchio.fr/demarche-administrative/recherche-genealogique/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Rue Fred-Scamaroni, BP A129, 20537 Porto-Vecchio Cedex, France","5 Rue Fred Scamaroni, 20137, Porto-Vecchio, France"
Complex Systems Digital Campus  ,69427,2014-01-15,https://www.cs-dc.org/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"7, place de Fontenoy, Paris, France","218 Rue Du Faubourg Saint Martin, 75010, Paris, France"
Archives départementales de l'Yonne,56431,2014-01-17,https://archives.yonne.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"37, rue Saint-Germain, 89000, Auxerre, France","37, rue Saint-Germain, 89000, Auxerre, France"
Archives de Saint-Etienne,79003,2014-02-08,https://www.archives.saint-etienne.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"164 Cours Fauriel, 42100, Saint-Étienne, France","164 Cours Fauriel, 42100, Saint-Étienne, France"
Archives départementales d'Eure-et-Loir,66007,2014-02-14,http://www.archives28.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Département d'Eure-et-Loir, 1, place Châtelet, 28026 Chartes Cedex, France","Esplanade Martial Taugourdeau - Pont de Mainvilliers, 28026, Chartres, France"
Archives du Musée Picasso,53353,2014-02-17,https://www.museepicassoparis.fr/fr/consultation-de-la-documentation-et-des-archives,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"5 rue de Thorigny, 75003, Paris, France","5 rue de Thorigny, 75003, Paris, France"
Archives départementales de Tarn-et-Garonne,40357,2014-02-20,http://www.archives82.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"100 Boulevard Hubert Gouze BP 783 82013 Montauban cedex, France","14 avenue du dixième Dragons, 82000, Montauban, France"
Archives départementales des Ardennes,75583,2014-03-17,https://archives.cd08.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Département des Ardennes, Hôtel du Département, CS 20001, 08011 Charleville-Mézières Cedex, France","10 rue de la Porte de Bourgogne, 08000, Charleville-Mézières, France"
Institut National de Physique Nucléaire et de Physique des Particules du CNRS,62929,2014-03-21,https://in2p3.cnrs.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"3 rue Michel-Ange - F-75794 Paris cedex 16, France","10 Rue Alice Domon et Léonie Duquet, 75013, Paris, France"
Archives départementales de l'Ille-et-Vilaine,49933,2014-03-21,https://archives.ille-et-vilaine.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"1 avenue de la Préfecture, CS 20218, 35042 Rennes Cedex, France","1 rue Jacques-Léonard, 35000, Rennes, France"
Archives départementales des Yvelines,36937,2014-03-25,https://archives.yvelines.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Avenue de Lunca, 78180, Montigny-le-Bretonneux, France","Avenue de Lunca, 78180, Montigny-le-Bretonneux, France"
Université Lille,72505,2014-05-06,https://www.univ-lille.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"42, rue Paul Duez, 59000, Lille, France","42, rue Paul Duez, 59000, Lille, France"
Sciences Po,46513,2014-05-21,https://catalogue-bibliotheque.sciencespo.fr/discovery/search?vid=33USPC_SPO:SPO,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"27, rue Saint-Guillaume, 75007, Paris, France","27, rue Saint-Guillaume, 75007, Paris, France"
Cité des Sciences et de l'industrie,20521,2014-06-13,https://www.cite-sciences.fr/fr/accueil/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"30 Avenue Corentin Cariou, 75019, Paris, France","30 Avenue Corentin Cariou, 75019, Paris, France"
Assemblée Nationale,69085,2014-06-17,https://www.assemblee-nationale.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"126 rue de l'Université 75355 Paris 07 SP, France","126 Rue de l'Université, 75007, Paris, France"
Cité Numérique de la Méditerranée,56089,2014-07-03,https://cinumed.mmsh.univ-aix.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"5, rue du Château de l'horloge, BP 647, 13094 Aix-en-Provence, France","5, rue du Château de l'horloge, 13090, Aix-en-Provence, France"
Equipex Biblissima,43093,2014-07-24,https://biblissima.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Campus Condorcet, Bâtiment EPCC - Hôtel à projets (bureau 2033), 8, cours des Humanités, 93322 Aubervilliers CEDEX , France","20 avenue George Sand, 93210, La Plaine Saint-Denis, France"
Archives municipales d'Armentières,30097,2014-07-25,https://archives.ville-armentieres.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"26 Avenue Aristide Briand, 59280 Armentières, France","26 Avenue Aristide Briand, 59280, Armentières, France"
Archives départementales de la Meuse,52669,2014-08-19,http://archives.meuse.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"26, route d'Aulnois, BP 50532, 55 012 Bar-le-Duc, France","26, route d'Aulnois, 55000, Bar-le-Duc, France"
Archives départementales de l'Ardèche,39673,2014-09-11,https://archives.ardeche.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Hôtel du Département, Quartier la Chaumette – BP 737, 07007 Privas cedex, France","14 Pl. Andre Malraux, 07000, Privas, France"
Fédération et Ressources sur l'Antiquité,26678,2014-09-19,https://www.frantiq.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,"EZID ARK, started as ARK",Anonyme,Anonyme,contact@email.com,,,,"MSH Mondes, 21 allée de l’Université, 92023 Nanterre Cedex, France","21 allée de l’Université, 92000, Nanterre, France"
Archives municipales de Bordeaux,75241,2014-10-29,https://archives.bordeaux-metropole.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Parvis des Archives, 33100, Bordeaux, France","Parvis des Archives, 33100, Bordeaux, France"
Archives municipales de Rueil-Malmaison,62245,2014-10-29,http://archives.mairie-rueilmalmaison.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"13 Boulevard du Maréchal Foch, 92500 Rueil-Malmaison, France","Musée d'Histoire Locale, Place du 11 novembre 1918, 92500, Rueil-Malmaison, France"
