who,what,when,where,how_nfp,how_nr,how_op,how_cc,how_year,how_policy,why,contact (surname),contact (firstname),contact (current only),Provider (surname),Provider (firstname),Provider (mail),address (postal),address (location)
Digital Curation Centre,64269,2004-09-22,https://www.dcc.ac.uk,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2004,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Digital Curation Centre, University of Edinburgh, Argyle House, 3 Lady Lawson Street, Edinburgh, EH3 9DR, Scotland","University of Edinburgh, Edinburgh, EH8 9YL, UK"
New York University,62624,2004-10-07,https://library.nyu.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2004,,"ARK, once EZID ARK",Anonyme,Anonyme,contact@email.com,,,,"70 Washington Square South, New York NY 10012, USA","70 Washington Square South, New York NY 10012, USA"
University of North Texas,67531,2004-10-07,https://digital.library.unt.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2004,,ARK,Anonyme,Anonyme,contact@email.com,,,,"1506 W Highland St, Denton, TX 76203, USA","1506 W Highland St, Denton, TX 76203, USA"
Portico Digital Preservation Service,27927,2004-12-10,https://www.portico.org/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2004,,ARK,Anonyme,Anonyme,contact@email.com,,,,"2 Rector Street, 18th Floor, New York, NY 10006, USA","2 Rector Street, 18th Floor, New York, NY 10006, USA"
University of California Los Angeles,21198,2005-05-02,https://library.ucla.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2005,,"EZID ARK, started as ARK",Anonyme,Anonyme,contact@email.com,,,,"10740 Dickson Ct., Los Angeles, CA 90095, USA","10740 Dickson Ct., Los Angeles, CA 90095, USA"
Princeton University,88435,2005-10-06,https://diglib.princeton.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2005,,"ARK, later EZID ARK",Anonyme,Anonyme,contact@email.com,,,,"Princeton NJ 08544, USA","Princeton NJ 08544, USA"
"Archives of Region of Västra Götaland and City of Gothenburg, Sweden",89901,2005-11-30,https://www.vgregion.se/politik/politisk-organisation/politiska-organ-a-o/arkivnamnden/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2005,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Otterhällegatan 5 411 18 Gothenburg, Sweden","Otterhällegatan 5 411 18 Gothenburg, Sweden"
Northwest Digital Archives,80444,2006-01-06,https://archiveswest.orbiscascade.org/search/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2006,,ARK,Anonyme,Anonyme,contact@email.com,,,,"140 Glenn Terrell Mall, Pullman, WA 99164, USA","140 Glenn Terrell Mall, Pullman, WA 99164, USA"
Emory University,25593,2006-01-12,https://pid.emory.edu/admin/login/?next=/admin/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2006,,ARK,Anonyme,Anonyme,contact@email.com,,,,"540 Ashbury Circle, Atlanta, GA 30322, USA","540 Ashbury Circle, Atlanta, GA 30307, USA"
University of Kansas,25031,2006-03-29,https://www.lib.ku.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2006,,ARK,Anonyme,Anonyme,contact@email.com,,,,"1425 Jayhawk Blvd, Lawrence, KS 66045, USA","1425 Jayhawk Blvd, Lawrence, KS 66045, USA"
Google LLC,78319,2006-08-22,https://www.google.com,True,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2006,,ARK,Anonyme,Anonyme,contact@email.com,,,,"1600 Amphitheatre Pkwy, Mountain View, CA 94043, USA","1600 Amphitheatre Pkwy, Mountain View, CA 94043, USA"
"Centre for Ecology & Hydrology, UK",17101,2006-08-20,https://www.ceh.ac.uk,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2006,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Crowmarsh Gifford, Wallingford, Oxfordshire OX10 8BB, UK","Crowmarsh Gifford, Wallingford, Oxfordshire OX10 8BB, UK"
University of Calgary,65323,2007-06-05,https://library.ucalgary.ca,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2007,,ARK,Anonyme,Anonyme,contact@email.com,,,,"410 University Ct NW, Calgary, AB T2N 1N4, Canada","410 University Ct NW, Calgary, AB T2N 1N4, Canada"
University of Chicago,61001,2007-09-11,https://www.lib.uchicago.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2007,,ARK,Anonyme,Anonyme,contact@email.com,,,,"5801 S Ellis Ave, Chicago, IL 60637, USA","5801 S Ellis Ave, Chicago, IL 60637, USA"
Metadata Terms,99152,2007-10-02,http://n2t.net,False,NR,OP,(:unkn) unknown,2007,,ARK,Anonyme,Anonyme,contact@email.com,,,,"415 20th St, Oakland, CA 94612, USA","415 20th St, Oakland, CA 94612, USA"
NAAN Reserved for use in Examples,12345,2007-10-02,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2007,,ARK,Anonyme,Anonyme,contact@email.com,,,,"415 20th St, Oakland, CA 94612, USA","415 20th St, Oakland, CA 94612, USA"
Bibliothèque et Archives Nationales du Québec,52327,2007-10-18,https://www.banq.qc.ca/accueil/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2007,,ARK,Anonyme,Anonyme,contact@email.com,,,,"475 Boul de Maisonneuve E, Montréal, QC H2L 5C4, Canada","475 Boul de Maisonneuve E, Montréal, QC H2L 5C4, Canada"
National Széchényi Library,39331,2008-03-05,http://www.oszk.hu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2008,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Budapest, Szent György tér 4-5-6., 1014, Hungary","Budapest, Szent György tér 4-5-6., 1014, Hungary"
Library and Archives Canada,26677,2008-05-15,https://collectionscanada.ca,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2008,,ARK,Anonyme,Anonyme,contact@email.com,,,,"395 Wellington Street, Ottawa, ON K1A 0N4, CANADA","395 Wellington Street, Ottawa, ON K1A 0N4, CANADA"
Family Search,61903,2009-02-13,https://familysearch.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,Anonyme,Anonyme,contact@email.com,,,,"50 N Temple, Salt Lake City, UT 84150, USA","50 N Temple, Salt Lake City, UT 84150, USA"
University of California Santa Barbara,48907,2009-03-13,https://library.ucsb.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,"EZID ARK, started as ARK",Anonyme,Anonyme,contact@email.com,,,,"552 University Rd, Santa Barbara, CA 93106, USA","552 University Rd, Santa Barbara, CA 93106, USA"
George Eastman House - International Museum of Photography and Film,36253,2009-03-17,https://www.eastman.org/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,Anonyme,Anonyme,contact@email.com,,,,"900 East Ave, Rochester, NY 14607, USA","900 East Ave, Rochester, NY 14607, USA"
Appalachian State University,23257,2009-05-18,https://www.appstate.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Boone, North Carolina 28608, USA","Boone, North Carolina 28608, USA"
Jüdisches Museum Berlin,10261,2009-07-22,https://www.jmberlin.de,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Lindenstraße 9-14, 10969 Berlin, Germany","Lindenstraße 9-14, 10969 Berlin, Germany"
University of Houston,84475,2009-07-22,https://id.lib.uh.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,Anonyme,Anonyme,contact@email.com,,,,"220 School of Music Building, Houston, TX 77004, USA","4800 Calhoun Rd, Houston, TX 77004, USA"
Consejo Superior de Investigaciones Científicas,71479,2009-10-14,https://www.csic.es,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Calle Carretera, 0, 28500 Arganda del Rey, Madrid, Spain","Calle Carretera, 0, 28500 Arganda del Rey, Madrid, Spain"
Massachusetts Institute of Technology,32833,2009-11-17,https://libraries.mit.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,Anonyme,Anonyme,contact@email.com,,,,"77 Massachusetts Avenue, Cambridge, MA 02139-4307, USA","77 Massachusetts Avenue, Cambridge, MA 02139-4307, USA"
Simon Fraser University,19837,2009-12-16,https://www.sfu.ca,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2009,,ARK,Anonyme,Anonyme,contact@email.com,,,,"8888 University Drive, Burnaby, BC, Canada V5A 1S6","8888 University Drive, Burnaby, BC, Canada V5A 1S6"
British Library,81055,2010-01-21,https://www.bl.uk,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"96 Euston Rd, Kings Cross, London NW1 2DB, United Kingdom","96 Euston Rd, Kings Cross, London NW1 2DB, United Kingdom"
Columbia College Chicago,55405,2010-02-19,https://www.colum.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"525 S State St, Chicago, IL 60605, USA","525 S State St, Chicago, IL 60605, USA"
The Pennsylvania State University,42409,2010-03-03,https://www.psu.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"201 Old Main, University Park, Pennsylvania 16802, USA","201 Old Main, University Park, Pennsylvania 16802, USA"
University of Pennsylvania,29413,2010-04-07,https://www.upenn.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"3420 Walnut St, Philadelphia, PA 19104, USA","3420 Walnut St, Philadelphia, PA 19104, USA"
University of Kentucky Libraries,16417,2010-04-09,https://www.uky.edu/UKHome/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"500 S. Limestone St., Lexington, KY 40508, USA","500 S. Limestone St., Lexington, KY 40508, USA"
Humboldt-Universität zu Berlin,77635,2010-06-07,https://www.hu-berlin.de/de,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Unter den Linden 6, 10117 Berlin, Germany","Unter den Linden 6, 10117 Berlin, Germany"
University of Illinois at Urbana Champaign,51985,2010-07-12,https://illinois.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"1408 W Gregory Dr #203, Urbana, IL 61801, USA","1408 W Gregory Dr #203, Urbana, IL 61801, USA"
"People, Groups, and Institutions as Agents",99166,2010-08-04,http://n2t.net,False,NR,OP,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"415 20th St, Oakland, CA 94612, USA","415 20th St, Oakland, CA 94612, USA"
NAAN Reserved for Invalid or Impossible ARKs,99999,2010-08-04,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"415 20th St, Oakland, CA 94612, USA","415 20th St, Oakland, CA 94612, USA"
The George Washington University,38989,2010-08-20,https://gwu.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"2130 H St NW, Washington, DC 20052, USA","2130 H St NW, Washington, DC 20052, USA"
Rockefeller Archive Center,74557,2010-08-31,http://www.rockarch.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"15 Dayton Ave, Sleepy Hollow, NY 10591, USA","15 Dayton Ave, Sleepy Hollow, NY 10591, USA"
ITHAKA,22573,2010-11-18,https://www.ithaka.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"2 Rector Street, 18th Floor, New York, NY 10006, USA","2 Rector Street, 18th Floor, New York, NY 10006, USA"
Österreichische Nationalbibliothek,58141,2010-12-03,https://www.onb.ac.at,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"1015 Wien, Austria","1015 Wien, Austria"
New York Public Library,45145,2010-12-18,https://www.nypl.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,Anonyme,Anonyme,contact@email.com,,,,"5th Ave at 42nd St, New York, NY 10018, USA","5th Ave at 42nd St, New York, NY 10018, USA"
Purdue University,34231,2011-01-24,https://www.purdue.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,Anonyme,Anonyme,contact@email.com,,,,"610 Purdue Mall, West Lafayette, IN 47907, USA","610 Purdue Mall, West Lafayette, IN 47907, USA"
Biblioteca Nacional de Portugal,80713,2011-02-12,http://www.bnportugal.gov.pt,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Campo Grande 83, 1749-081 Lisboa, Portugal","Campo Grande 83, 1749-081 Lisboa, Portugal"
"Research Center for Islamic History, Art and Culture",41725,2011-04-22,https://www.ircica.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Barbaros Bulvari, Besiktas 34349, Istanbul, Turkey","Barbaros Bulvari, Besiktas 34349, Istanbul, Turkey"
Fundación Centro de Estudios Andaluces,51301,2011-06-20,https://www.centrodeestudiosandaluces.es,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Fundación Pública Andaluza Centro de Estudios Andaluces, C/Bailén, 50, 41001 Sevilla, Spain","Calle Bailén, 50, 41001 Sevilla, Spain"
University of California Santa Cruz,38305,2011-06-24,https://www.ucsc.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,"EZID ARK, started as ARK",Anonyme,Anonyme,contact@email.com,,,,"1156 High St, Santa Cruz, CA 95064, USA","1156 High St, Santa Cruz, CA 95064, USA"
National Center for Ecological Analysis and Synthesis,85063,2011-12-13,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"552 University Rd, Santa Barbara, CA 93106, USA","552 University Rd, Santa Barbara, CA 93106, USA"
National Center for Atmospheric Research,85065,2011-12-13,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"1850 Table Mesa Dr, Boulder, CO 80305, USA","1850 Table Mesa Dr, Boulder, CO 80305, USA"
United States Geological Survey,85066,2011-12-13,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"Oak Ridge, TN 37831, USA","Oak Ridge, TN 37831, USA"
SDSC OpenTopography Facility,85069,2012-02-07,https://www.opentopography.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA"
University of California Merced,86071,2012-03-02,http://ucmercedlibrary.info,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,"EZID ARK, started as ARK",Anonyme,Anonyme,contact@email.com,,,,"5200 Lake Rd, Merced, CA 95343, USA","5200 Lake Rd, Merced, CA 95343, USA"
UCSD Signaling Gateway,86072,2012-03-05,http://www.signaling-gateway.org/molecule,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA"
Fred Hutchinson Cancer Research Center,86076,2012-03-05,https://www.fhcrc.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"1100 Fairview Ave. N., P.O. Box 19024, Seattle, WA 98109-1024, USA","1100 Fairview Ave N, Seattle, WA 98109, USA"
UCLA Department of Ecology and Evolutionary Biology,86079,2012-03-12,https://www.eeb.ucla.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"10742 Dickson Ct., Los Angeles, CA 90095, USA","10742 Dickson Ct., Los Angeles, CA 90095, USA"
Collaborative Research Computational Neuroscience Program,86080,2012-03-12,https://crcns.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"101 Sproul Hall, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA"
University of Prince Edward Island,10987,2012-04-05,https://www.upei.ca,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,Anonyme,Anonyme,contact@email.com,,,,"550 University Ave, Charlottetown, PE C1A 4P3, Canada","550 University Ave, Charlottetown, PE C1A 4P3, Canada"
Partnership for Interdisciplinary Studies of Coastal Oceans,86085,2012-05-22,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"552 University Rd, Santa Barbara, CA 93106, USA","552 University Rd, Santa Barbara, CA 93106, USA"
University of California Riverside,86086,2012-05-26,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"900 University Ave, Riverside, CA 92507, USA","900 University Ave, Riverside, CA 92507, USA"
Facultés Universitaires Notre-Dame de la Paix (Namur),83449,2012-06-17,https://www.unamur.be/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Rue de Bruxelles 61, 5000 Namur, Belgium","Rue de Bruxelles 61, 5000 Namur, Belgium"
Bourns College of Engineering,87268,2012-06-27,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"900 University Ave, Riverside, CA 92507, USA","900 University Ave, Riverside, CA 92507, USA"
California Coastal Atlas,84246,2012-06-27,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA"
Massage Therapy Association of British Columbia,70453,2012-06-27,https://www.rmtbc.ca/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,Anonyme,Anonyme,contact@email.com,,,,"1200 - West 73rd Avenue, Vancouver, BC V6P 6G5, Canada","1200 - West 73rd Avenue, Vancouver, BC V6P 6G5, Canada"
ONEShare Data Service,90135,2012-07-02,http://n2t.net,False,NR,OP,(:unkn) unknown,2012,,"EZID ARK, started as ARK",Anonyme,Anonyme,contact@email.com,,,,"1312 Basehart Drive SE, Albuquerque, NM 87131-0001, USA","1312 Basehart SE, Albuquerque, NM 87106, USA"
Skaggs School of Pharmacy,87270,2012-07-02,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA"
UCSF Clinical and Translational Science Institute,87272,2012-07-10,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"530 Parnassus Ave, San Francsico, CA 94143, USA","530 Parnassus Ave, San Francsico, CA 94143, USA"
Washington State University,87273,2012-07-20,https://wsu.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"142 Glenn Terrell Mall, Pullman, WA 99164, USA","142 Glenn Terrell Mall, Pullman, WA 99164, USA"
University of Utah,87278,2012-08-16,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"295 1500 E, Salt Lake City, UT 84112, USA","295 1500 E, Salt Lake City, UT 84112, USA"
Ocean Observatory Initiative,87279,2012-08-16,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA"
Open Commons Consortium,31807,2012-08-22,https://occ-data.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,Anonyme,Anonyme,contact@email.com,,,,"400 Lathrop Avenue, Suite 90, River Forest, IL 60305, USA","400 Lathrop Avenue, Suite 90, River Forest, IL 60305, USA"
University of California Irvine,87280,2012-09-10,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"232 Ayala Science Library, PO BOX 19557, Irvine, CA 92623, USA","Irvine, Californie 92697, USA"
Johns Hopkins University,87281,2012-09-13,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"3400 N. Charles St., Baltimore, MD 21218, USA","Baltimore, MD 21218, USA"
Center for Multiscale Modeling of Atmospheric Processes,87285,2012-11-10,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA"
University of Alberta,54379,2012-11-15,https://www.ualberta.ca/index.html,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Edmonton AB, T6G 2J8, Canada","Edmonton AB, T6G 2J8, Canada"
Biocode Commons UC Berkeley,87286,2012-12-06,https://evolution.berkeley.edu/evolibrary/home.php,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,Anonyme,Anonyme,contact@email.com,,,,"101 Sproul Hall, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA"
University of Tennessee,87290,2013-01-18,https://lib.utk.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"1015 Volunteer Blvd, Knoxville, TN 37996, USA","1015 Volunteer Blvd, Knoxville, TN 37996, USA"
Digital Commonwealth,50959,2013-02-05,https://digitalcommonwealth.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,Anonyme,Anonyme,contact@email.com,,,,"321 Walnut Street, Newton, MA 02460, USA","321 Walnut Street, Newton, MA 02460, USA"
Center for Research in Biological Systems,87295,2013-03-04,https://www.crbs.ucsd.edu/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA"
UC Berkeley Department of Linguistics,87297,2013-03-07,https://lx.berkeley.edu/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"101 Sproul Hall, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA"
Boston Public Library,34543,2013-03-14,https://www.bpl.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,Anonyme,Anonyme,contact@email.com,,,,"700 Boylston St, Boston, MA 02116, USA","700 Boylston St, Boston, MA 02116, USA"
Museum of Vertebrate Zoology,87299,2011-03-20,http://n2t.net,False,NR,OP,(:unkn) unknown,2011,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"101 Sproul Hall, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA"
Biocode Commons,21547,2013-03-23,https://evolution.berkeley.edu/evolibrary/home.php,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,"EZID ARK, started as ARK",Anonyme,Anonyme,contact@email.com,,,,"101 Sproul Hall, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA"
