org_id,org_who,org_what,org_when,org_when_mmyyyy,org_field,org_area,org_where,org_where_resolver,org_where_collection,org_nfp,org_nr,org_op,org_cc,org_year,org_policy,org_why,org_ezid,org_contact_surname,org_contact_firstname,org_contact_email,org_provider_surname,org_provider_firstname,org_provider_email,org_address_postal,org_address_location,org_address_map,org_latitude,org_longitude,org_postcode,org_country
11,Archives de la ville de Pontivy,87553,2010-08-23,2010-08-01,archives,municipal,http://archives.pontivy.fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"8, rue François Mitterrand, 56306 Pontivy, France","8, rue François Mitterrand, 56306, Pontivy, France","8 rue François Mitterrand, 56300, Pontivy, France",48.06457015,-2.9678087390331,56306,France
12,Archives nationales d'outre-mer,61561,2010-09-23,2010-09-01,archives,national,http://www.archivesnationales.culture.gouv.fr/anom/fr/,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"29, chemin du moulin de Testas, 13090, Aix-En-Provence, France","29, chemin du moulin de Testas, 13090, Aix-En-Provence, France","29, chemin du moulin de Testas, 13090, Aix-En-Provence, France",43.51460575,5.44810094026758,13090,France
13,Ville de Besançon,48565,2010-09-28,2010-09-01,administrative district,municipal,https://www.besancon.fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"2 rue Mégevand, 25034, Besançon, France","2 rue Mégevand, 25034, Besançon, France","2 rue Mégevand, 25034, Besançon, France",47.2366813,6.0220935,25034,France
14,Conseil Général de la Martinique,35569,2010-10-22,2010-10-01,administrative district,departemental,https://www.cg972.fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Conseil Général de la Martinique, Rue Gaston Defferre - Cluny, CS 30137, 97201, Fort-de-France cedex, Martinique","Centre Administratif,  bd Chevalier Ste Marthe, 97200, Fort-de-France, Martinique","Rue Gaston Defferre, 97200, Fort-de-France, Martinique",14.6212094,-61.0808308,97200,France
15,Archives départementales de l'Allier,84133,2010-11-22,2010-11-01,archives,departemental,https://archives.allier.fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Parc de Bellevue, 03400, Yzeure, France","Parc de Bellevue, 03400, Yzeure, France","rue de Bellevue, 03400, Yzeure, France",46.5599841,3.346154,3400,France
16,Archives départementales de la Côte-d'Or,71137,2010-11-25,2010-11-01,archives,departemental,http://www.archives.cotedor.fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2010,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"11 Rue d'Auxonne, 21000, Dijon, France","11 Rue d'Auxonne, 21000, Dijon, France","11 Rue d'Auxonne, 21000, Dijon, France",47.3158199,5.045077,21000,France
17,Centre national de documentation pédagogique,19153,2011-02-12,2011-02-01,education,national,http://www.cndp.fr/Accueil/,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,"EZID ARK, started as ARK",True,Anonyme,Anonyme,contact@email.com,,,,"4, avenue du Futuroscope, Téléport 1, CS 80158, 80158, Futuroscope Cedex, France","Futuroscope, France","Futuroscope, France",46.6674543,0.36702144928599,86000,France
18,Ministère de la culture et de la communication,67717,2011-03-14,2011-03-01,government agency,national,http://www.culture.fr/Ressources/Moteur-Collections,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"182, rue Saint-Honoré, 75033, Paris cedex 01, France","182, rue Saint-Honoré, 75001, Paris, France","182, rue Saint-Honoré, 75001, Paris, France",48.8621897,2.3392682,75001,France
19,Institut national d'histoire de l'art,54721,2011-03-31,2011-03-01,research,national,https://www.inha.fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"2 rue Vivienne, 75002, Paris, France","2 rue Vivienne, 75002, Paris, France","2 rue Vivienne, 75002, Paris, France",48.8664844,2.3389311,75002,France
20,Archives départementales du Rhône,28729,2011-05-08,2011-05-01,archives,departemental,https://archives.rhone.fr/,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"34 rue du général Mouton-Duvernet - 69003 Lyon, France","34 rue du général Mouton-Duvernet, 69003 Lyon, France","34 rue du général Mouton-Duvernet, 69003 Lyon, France",45.7550701,4.8613149,69003,France
21,Archives départementales du Cantal,16075,2011-05-27,2011-05-01,archives,departemental,http://archives.cantal.fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Place Hôtel de ville, 15000, Aurillac, France","Place Hôtel de ville, 15000, Aurillac, France","Place de l'Hôtel de ville, 15000, Aurillac, France",44.9299414,2.4450207,15000,France
22,Archives départementales de la Savoie,77293,2011-06-07,2011-06-01,archives,departemental,https://patrimoines.savoie.fr/web/dsp_6165/accueil,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"244, quai de la Rize, 73000, Chambéry, France","244, quai de la Rize, 73000, Chambéry, France","244, quai de la Rize, 73000, Chambéry, France",45.5673772,5.929723,73000,France
23,Archives départementales du Pas-de-Calais,64297,2011-06-07,2011-06-01,archives,departemental,http://www.archivespasdecalais.fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"59 Rue Anatole France, 62400, Béthune, France","244, quai de la Rize, 73000, Chambéry, France","244, quai de la Rize, 73000, Chambéry, France",45.5673772,5.929723,62400,France
24,Archives départementales de la Gironde,25651,2011-08-18,2011-08-01,archives,departemental,https://archives.gironde.fr/,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"72, cours Balguerie-Stuttenberg, 33300, Bordeaux, France","72, cours Balguerie-Stuttenberg, 33300, Bordeaux, France","72, cours Balguerie-Stuttenberg, 33300, Bordeaux, France",44.856742,-0.56799879825835,33300,France
25,Agence Livre & Lecture Bourgogne-Franche-Comté,12655,2011-09-13,2011-09-01,publication,régional,https://www.livre-bourgognefranchecomte.fr/,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"25, rue Gambetta, 25000, Besançon, France","25, rue Gambetta, 25000, Besançon, France","25, rue Gambetta, 25000, Besançon, France",47.2407743,6.0264992,25000,France
26,Archives départementales de la Marne,86869,2011-09-26,2011-09-01,archives,departemental,https://archives.marne.fr/,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"2 bis rue de Jessaint, CS30454 - 51038 Châlons-en-Champagne, France","23 Rue Carnot, 51000, Châlons-en-Champagne, France","rue Carnot, 51000, Châlons-en-Champagne, France",48.9534536,4.3666378,51000,France
27,Ville de Paris,73873,2011-12-13,2011-12-01,administrative district,municipal,http://www.paris.fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2011,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Place de l'Hôtel de Ville, 75196 Paris cedex 04, France","Place de l'Hôtel de Ville, 75004, Paris, France","Place de l'Hôtel de Ville, 75004, Paris, France",48.8568616,2.3511362,75004,France
28,Archives départementales de la Nièvre,60877,2012-01-02,2012-01-01,archives,departemental,https://archives.cg58.fr/,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"1 Rue Charles-Roy, 58000, Nevers, France","1 Rue Charles-Roy, 58000, Nevers, France","1 Rue Charles-Roy, 58000, Nevers, France",46.9945308,3.16280803302886,58000,France
29,Inoc Aquitania,32149,2012-01-02,2012-01-01,research,régional,https://www.oc-cultura.eu/oc/,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Château d'Este, Avenue de la Pléiade, 64140, Billère, France","Château d'Este, Avenue de la Pléiade, 64140, Billère, France","avenue du Château d'Este, 64140, Billère, France",43.3058446,-0.3920926,64140,France
30,Université Claude Bernard Lyon 1,47881,2012-04-13,2012-04-01,university,,https://www.univ-lyon1.fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,"EZID ARK, started as ARK",True,Anonyme,Anonyme,contact@email.com,,,,"43 Boulevard du 11 Novembre 1918, 69100, Villeurbanne, France","43 Boulevard du 11 Novembre 1918, 69100, Villeurbanne, France","43 Boulevard du 11 Novembre 1918, 69100, Villeurbanne, France",45.78155015,4.8681781771327,69100,France
31,Archives départementales des Landes,35227,2012-04-24,2012-04-01,archives,departemental,https://www.archives.landes.fr,,,False,NR,OP,(:unkn) unknown,2012,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"25 place du 6e RPIMA, 40025, Mont-de-Marsan, France","25 place du 6e RPIMA, 40025, Mont-de-Marsan, France","40025, Mont-de-Marsan, France",43.8848868,-0.504548271684033,40025,France
32,Archives départementales de l'Ain,22231,2012-05-26,2012-05-01,archives,departemental,https://www.archives.ain.fr/fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"1 Bd Paul Valéry, 01000, Bourg-en-Bresse, France","1 Bd Paul Valéry, 01000, Bourg-en-Bresse, France","1 Bd Paul Valéry, 01000, Bourg-en-Bresse, France",46.195261,5.226165,1000,France
33,Archives départementales du Loir-et-Cher,57457,2012-07-11,2012-07-01,archives,departemental,http://www.culture41.fr/Archives-départementales,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"2 rue Louis Bodin, 41000, Blois, France","2 rue Louis Bodin, 41000, Blois, France","2 rue Louis Bodin, 41000, Blois, France",47.5928506,1.3356714,41000,France
34,Archives départementales de l'Oise,44803,2012-07-11,2012-07-01,archives,departemental,http://www.archives.oise.fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"71 rue de Tilloy, 60024, Beauvais, France","71 rue de Tilloy, 60024, Beauvais, France","71 rue de Tilloy, 60024, Beauvais, France",49.4449849,2.1032287,60024,France
35,Archives municipales de Lyon,18811,2012-09-17,2012-09-01,archives,municipal,https://www.archives-lyon.fr/,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"17 Rue du Dr Bouchut, 69003, Lyon, France","17 Rue du Dr Bouchut, 69003, Lyon, France","17 Rue du Docteur Bouchut, 69003, Lyon, France",45.7597751,4.8553562,69003,France
36,Archives départementales de la Haute-Savoie,67033,2012-09-29,2012-09-01,archives,departemental,https://archives.hautesavoie.fr/,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"37 Bis Avenue de la Plaine, 74000, Annecy, France","37 Bis Avenue de la Plaine, 74000, Annecy, France","37B Avenue de la Plaine, 74000, Annecy, France",45.9194207,6.1257161,74000,France
37,Archives départementales du Cher,41383,2012-11-28,2012-11-01,archives,departemental,https://www.archives18.fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Rue Jean Marie Heurtault de Lamerville, 18000, Bourges, France","Rue Jean Marie Heurtault de Lamerville, 18000, Bourges, France","18000, Bourges, France",47.0850378841659,2.3990922825041,18000,France
38,Archives départementales de la Vienne,28387,2012-12-11,2012-12-01,archives,departemental,https://archives-deux-sevres-vienne.fr/,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"30 Rue des Champs Balais, 86000, Poitiers, France","30 Rue des Champs Balais, 86000, Poitiers, France","30 Rue des Champs Balais, 86000, Poitiers, France",46.56313,0.3781207,86000,France
39,Archives municipales de Saint-Denis,15391,2012-12-13,2012-12-01,archives,municipal,http://archives.ville-saint-denis.fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"2 Place du Caquet, 93200, Saint-Denis, France","2 Place du Caquet, 93200, Saint-Denis, France","2 Place du Caquet, 93200, Saint-Denis, France",48.937647,2.360002,93200,France
40,Maison de l'Orient et la Méditerranée,76609,2012-12-19,2012-12-01,research,,https://www.mom.fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"86 Rue Pasteur, 69007, Lyon, France","86 Rue Pasteur, 69007, Lyon, France","86 Rue Pasteur, 69007, Lyon, France",45.7489475,4.8369746,69007,France
41,Institut de recherche et d'histoire des textes,63955,2013-01-29,2013-01-01,research,national,https://www.irht.cnrs.fr/,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"3 rue Michel-Ange - F-75794 Paris cedex 16, France","3 rue Michel-Ange, 75016, Paris , France","3 rue Michel-Ange, 75016, Paris , France",48.84755265,2.26404020346787,75016,France
42,Archives départementales de la Mayenne,37963,2013-02-15,2013-02-01,archives,departemental,https://archives.lamayenne.fr/,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"6 place des Archives, 53000, Laval, France","6 place des Archives, 53000, Laval, France","6 place des Archives, 53000, Laval, France",48.0729834,-0.758911,53000,France
43,Archives départementales de la Lozère,24967,2013-02-20,2013-02-01,archives,departemental,https://archives.lozere.fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"12 avenue du Père Coudrin, 48000, Mende, France","12 avenue du Père Coudrin, 48000, Mende, France","12 avenue du Père Coudrin, 48000, Mende, France",44.51731805,3.50567766508937,48000,France
44,Archives départementales de l'Aveyron,11971,2013-02-26,2013-02-01,archives,departemental,http://archives.aveyron.fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"25 avenue Victor Hugo, 12000, Rodez, France","25 avenue Victor Hugo, 12000, Rodez, France","25 avenue Victor Hugo, 12000, Rodez, France",44.3509263,2.56839092570257,12000,France
45,Archives départementales du Var,73531,2013-02-28,2013-02-01,archives,departemental,https://www.archives.var.fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"390 avenue des Lices, CS 41303, 83076 Toulon Cedex","660 boulevard J.-F. Kennedy, 83300, Draguignan, France","660 boulevard John Kennedy, 83300, Draguignan, France",43.5346429,6.4759312,83300,France
46,Archives départementales de Saône-et-Loire,60535,2013-03-07,2013-03-01,archives,departemental,http://www.archives71.fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Place des Carmélites CS 70126 - 71026 Mâcon Cedex 9, France","Place des Carmélites, 71000, Mâcon, France","Place des Carmélites, 71000, Mâcon, France",46.308211,4.8338061,71000,France
47,Archives départementales de la Haute-Loire,47539,2013-03-08,2013-03-01,archives,departemental,http://www.archives43.fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"4 Avenue de Meschede, 43000, Le Puy-en-Velay, France","4 Avenue de Meschede, 43000, Le Puy-en-Velay, France","4 Avenue de Meschede, 43000, Le Puy-en-Velay, France",45.041461,3.9005769,43000,France
48,Archives départementales de la Manche,57115,2013-04-14,2013-04-01,archives,departemental,https://www.archives-manche.fr/,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Conseil departemental de la Manche 50050 Saint-Lô cedex, France","103 Rue Maréchal Juin, 50000, Saint-Lô, France","103 Rue Maréchal Juin, 50000, Saint-Lô, France",49.1156677,-1.0789299,50000,France
49,Fondation Maison des Sciences de l'Homme,31123,2013-06-27,2013-06-01,research,national,https://www.fmsh.fr/,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"190 avenue de France, 75013, Paris, France","190 avenue de France, 75013, Paris, France","190 avenue de France, 75013, Paris, France",48.8361576,2.3717341,75013,France
50,Archives départementales du Val-d'Oise,18127,2013-07-16,2013-07-01,archives,departemental,https://archives.valdoise.fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"3 Avenue de la Palette, 95000, Cergy-Pontoise, France","3 Avenue de la Palette, 95000, Cergy-Pontoise, France","3 Avenue de la Palette, 95300, Pontoise, France",49.0337159,2.0872935,95000,France
51,Musée des Augustins,66691,2013-08-02,2013-08-01,museum,,https://www.augustins.org/fr/,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"21 rue de Metz, 31000, Toulouse, France","21 rue de Metz, 31000, Toulouse, France","21 rue de Metz, 31000, Toulouse, France",43.6005633,1.4458914,31000,France
52,"Ministère de la Défense, Mémoire des hommes",40699,2013-08-31,2013-08-01,archives,national,http://www.memoiredeshommes.sga.defense.gouv.fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"60, boulevard du Général Martial Valin, 75509, Paris, France","60, boulevard du Général Martial Valin, 75015, Paris, France","60, boulevard du Général Martial Valin, 75015, Paris, France",48.8365332,2.2755348,75509,France
53,Archives départementales du Morbihan,15049,2013-09-19,2013-09-01,archives,departemental,https://archives.morbihan.fr/accueil,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"CS 52405 56010 Vannes cedex, France","80 Rue des Venetes, 56010, Vannes, France","80 Rue des Venetes, 56010, Vannes, France",47.6484644,-2.78136596783118,56010,France
54,Archives départementales de l'Aisne,63271,2013-10-14,2013-10-01,archives,departemental,https://archives.aisne.fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Parc Foch, Avenue du Maréchal Foch, 02000, Laon, France","Parc Foch, Avenue du Maréchal Foch, 02000, Laon, France","Avenue du Maréchal Foch, 02000, Laon, France",49.5554145,3.6048922,2000,France
55,Archives départementales des Vosges,50275,2013-10-30,2013-10-01,archives,departemental,https://archives.vosges.fr/,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"8 rue de la Préfecture 88088 Épinal, Cedex 9, France","4 Avenue Pierre Blanck, 88000, Épinal, France","4 Avenue Pierre Blanck, 88000, Épinal, France",48.1988555,6.460419,88000,France
56,Archives départementales de l'Hérault,37279,2013-11-08,2013-11-01,archives,departemental,https://archives-pierresvives.herault.fr/,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Mas d'Alco, 1977 avenue des Moulins, 34087 Montpellier cedex 4, France","Mas d'Alco, 1977 avenue des Moulins, 34090, Montpellier, France","1977 avenue des Moulins, 34090, Montpellier, France",43.62282,3.83763236792819,34090,France
57,Archives municipales d'Orléans,24625,2013-11-08,2013-11-01,archives,municipal,https://archives.orleans-metropole.fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Hôtel de Ville, Place de l'Etape, 45040 Orléans cedex 01, France","5 Rue Fernand Rabier, 45000, Orléans, France","5 Rue Fernand Rabier, 45000, Orléans, France",47.9052452,1.9096262,45000,France
58,Archives départementales du Puy-de-Dôme,72847,2013-11-21,2013-11-01,archives,departemental,https://www.archivesdepartementales.puy-de-dome.fr/,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Hôtel du Département, 24 rue Saint-Esprit, 63033, Clermont-Ferrand Cedex 1, France","75 rue de Neyrat, 63100, Clermont-Ferrand, France","75 rue de Neyrat, 63100, Clermont-Ferrand, France",45.8067351,3.1015753,63100,France
59,Conseil régional d’Occitanie,46855,2013-12-04,2013-12-01,administrative district,régional,https://www.laregion.fr/,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"201 avenue de la Pompignane, 34064, Montpellier, France","201 avenue de la Pompignane, 34064, Montpellier, France","201 avenue de la Pompignane, 34064, Montpellier, France",43.6074927,3.89767742886188,34064,France
60,Bibliothèque publique d'information,34201,2014-01-03,2014-01-01,library,national,https://www.bpi.fr,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"1 Rue Beaubourg, 75004, Paris, France","1 Rue Beaubourg, 75004, Paris, France","1 Rue Beaubourg, 75004, Paris, France",48.8608802,2.3529979,75004,France
61,Archives municipales de Porto Vecchio,21205,2014-01-14,2014-01-01,archives,municipal,https://www.porto-vecchio.fr/demarche-administrative/recherche-genealogique/,,,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Rue Fred-Scamaroni, BP A129, 20537 Porto-Vecchio Cedex, France","5 Rue Fred Scamaroni, 20137, Porto-Vecchio, France","5 Rue Fred Scamaroni, 20137, Porto-Vecchio, France",41.591244,9.2785714,20137,France
